"","Year","Value","Biological_Comp","Gender"
"134",14,2524218.44,"P.Immune","Men"
"135",15,2385282.07,"P.Immune","Men"
"136",16,2252783.33,"P.Immune","Men"
"137",17,2128574.52,"P.Immune","Men"
"138",18,2015217.39,"P.Immune","Men"
"139",19,1915058.74,"P.Immune","Men"
"140",20,1829631.35,"P.Immune","Men"
"141",21,1759583.65,"P.Immune","Men"
"142",22,1704729.51,"P.Immune","Men"
"143",23,1664185,"P.Immune","Men"
"144",24,1636549.33,"P.Immune","Men"
"145",25,1620092.05,"P.Immune","Men"
"146",26,1612920.68,"P.Immune","Men"
"147",27,1613117.14,"P.Immune","Men"
"148",28,1618842.97,"P.Immune","Men"
"149",29,1628418.38,"P.Immune","Men"
"150",30,1640380.71,"P.Immune","Men"
"151",1,986776.79,"P.Immune","Women"
"152",2,1036357.77,"P.Immune","Women"
"153",3,1084962.71,"P.Immune","Women"
"154",4,1131228.51,"P.Immune","Women"
"155",5,1174421.83,"P.Immune","Women"
"156",6,1213708.2,"P.Immune","Women"
"157",7,1248414.59,"P.Immune","Women"
"158",8,1278050.65,"P.Immune","Women"
"159",9,1302340.59,"P.Immune","Women"
"160",10,1318227.35,"P.Immune","Women"
"161",11,1321206.59,"P.Immune","Women"
"162",12,1310159.67,"P.Immune","Women"
"163",13,1285339.6,"P.Immune","Women"
"164",14,1248023.48,"P.Immune","Women"
"165",15,1200149.77,"P.Immune","Women"
"166",16,1144026.73,"P.Immune","Women"
"167",17,1083538.33,"P.Immune","Women"
"168",18,1023576.59,"P.Immune","Women"
"169",19,967678.97,"P.Immune","Women"
"170",20,918765.69,"P.Immune","Women"
"171",21,879137.83,"P.Immune","Women"
"172",22,850486.63,"P.Immune","Women"
"173",23,833885.77,"P.Immune","Women"
"174",24,829775.23,"P.Immune","Women"
"175",25,837951.94,"P.Immune","Women"
"176",26,857580.34,"P.Immune","Women"
"177",27,887236.26,"P.Immune","Women"
"178",28,924998.07,"P.Immune","Women"
"179",29,968592.09,"P.Immune","Women"
"180",30,1015584.9,"P.Immune","Women"
"181",1,0,"CIN1","Men"
"182",2,0,"CIN1","Men"
"183",3,0,"CIN1","Men"
"184",4,0,"CIN1","Men"
"185",5,0,"CIN1","Men"
"186",6,0,"CIN1","Men"
"187",7,0,"CIN1","Men"
"188",8,0,"CIN1","Men"
"189",9,0,"CIN1","Men"
"190",10,0,"CIN1","Men"
"191",11,0,"CIN1","Men"
"192",12,0,"CIN1","Men"
"193",13,0,"CIN1","Men"
"194",14,0,"CIN1","Men"
"195",15,0,"CIN1","Men"
"196",16,0,"CIN1","Men"
"197",17,0,"CIN1","Men"
"198",18,0,"CIN1","Men"
"199",19,0,"CIN1","Men"
"200",20,0,"CIN1","Men"
"201",21,0,"CIN1","Men"
"202",22,0,"CIN1","Men"
"203",23,0,"CIN1","Men"
"204",24,0,"CIN1","Men"
"205",25,0,"CIN1","Men"
"206",26,0,"CIN1","Men"
"207",27,0,"CIN1","Men"
"208",28,0,"CIN1","Men"
"209",29,0,"CIN1","Men"
"210",30,0,"CIN1","Men"
"211",1,509797.62,"CIN1","Women"
"212",2,471885.98,"CIN1","Women"
"213",3,438448.67,"CIN1","Women"
"214",4,410088.54,"CIN1","Women"
"215",5,386961.24,"CIN1","Women"
"216",6,368832.36,"CIN1","Women"
"217",7,355143.07,"CIN1","Women"
"218",8,345184.63,"CIN1","Women"
"219",9,338252.5,"CIN1","Women"
"220",10,331851.45,"CIN1","Women"
"221",11,323136.35,"CIN1","Women"
"222",12,311619.13,"CIN1","Women"
"223",13,297502.38,"CIN1","Women"
"224",14,281372.98,"CIN1","Women"
"225",15,263959.28,"CIN1","Women"
"226",16,245979.94,"CIN1","Women"
"227",17,228953.15,"CIN1","Women"
"228",18,214637.77,"CIN1","Women"
"229",19,203687.18,"CIN1","Women"
"230",20,196343.77,"CIN1","Women"
"231",21,192556.33,"CIN1","Women"
"232",22,192088.22,"CIN1","Women"
"233",23,194598.67,"CIN1","Women"
"234",24,199693.67,"CIN1","Women"
"235",25,206951.88,"CIN1","Women"
"236",26,215935.45,"CIN1","Women"
"237",27,226196.29,"CIN1","Women"
"238",28,237284.57,"CIN1","Women"
"239",29,248762.43,"CIN1","Women"
"240",30,260222.39,"CIN1","Women"
"241",1,0,"CIN23","Men"
"242",2,0,"CIN23","Men"
"243",3,0,"CIN23","Men"
"244",4,0,"CIN23","Men"
"245",5,0,"CIN23","Men"
"246",6,0,"CIN23","Men"
"247",7,0,"CIN23","Men"
"248",8,0,"CIN23","Men"
"249",9,0,"CIN23","Men"
"250",10,0,"CIN23","Men"
"251",11,0,"CIN23","Men"
"252",12,0,"CIN23","Men"
"253",13,0,"CIN23","Men"
"254",14,0,"CIN23","Men"
"255",15,0,"CIN23","Men"
"256",16,0,"CIN23","Men"
"257",17,0,"CIN23","Men"
"258",18,0,"CIN23","Men"
"259",19,0,"CIN23","Men"
"260",20,0,"CIN23","Men"
"261",21,0,"CIN23","Men"
"262",22,0,"CIN23","Men"
"263",23,0,"CIN23","Men"
"264",24,0,"CIN23","Men"
"265",25,0,"CIN23","Men"
"266",26,0,"CIN23","Men"
"267",27,0,"CIN23","Men"
"268",28,0,"CIN23","Men"
"269",29,0,"CIN23","Men"
"270",30,0,"CIN23","Men"
