"","Year","Value","Biological_Comp","Gender"
"134",14,2473969.52,"P.Immune","Men"
"135",15,2322610.84,"P.Immune","Men"
"136",16,2181648.64,"P.Immune","Men"
"137",17,2054616.71,"P.Immune","Men"
"138",18,1944467.62,"P.Immune","Men"
"139",19,1853231.46,"P.Immune","Men"
"140",20,1781807.04,"P.Immune","Men"
"141",21,1729912.04,"P.Immune","Men"
"142",22,1696184.39,"P.Immune","Men"
"143",23,1678402.35,"P.Immune","Men"
"144",24,1673778.58,"P.Immune","Men"
"145",25,1679279.06,"P.Immune","Men"
"146",26,1691921.59,"P.Immune","Men"
"147",27,1709017.97,"P.Immune","Men"
"148",28,1728337.68,"P.Immune","Men"
"149",29,1748186.74,"P.Immune","Men"
"150",30,1767409.58,"P.Immune","Men"
"151",1,986776.79,"P.Immune","Women"
"152",2,1036357.77,"P.Immune","Women"
"153",3,1084962.71,"P.Immune","Women"
"154",4,1131228.51,"P.Immune","Women"
"155",5,1174421.83,"P.Immune","Women"
"156",6,1212296.15,"P.Immune","Women"
"157",7,1241948.4,"P.Immune","Women"
"158",8,1261957.23,"P.Immune","Women"
"159",9,1271481.85,"P.Immune","Women"
"160",10,1270282.55,"P.Immune","Women"
"161",11,1258723.44,"P.Immune","Women"
"162",12,1238837.18,"P.Immune","Women"
"163",13,1213770,"P.Immune","Women"
"164",14,1186033.49,"P.Immune","Women"
"165",15,1158103.74,"P.Immune","Women"
"166",16,1132287.55,"P.Immune","Women"
"167",17,1110589.97,"P.Immune","Women"
"168",18,1094598.79,"P.Immune","Women"
"169",19,1085399.81,"P.Immune","Women"
"170",20,1083531.61,"P.Immune","Women"
"171",21,1088984.1,"P.Immune","Women"
"172",22,1101241.57,"P.Immune","Women"
"173",23,1119368.35,"P.Immune","Women"
"174",24,1142130.21,"P.Immune","Women"
"175",25,1168138.1,"P.Immune","Women"
"176",26,1195995.15,"P.Immune","Women"
"177",27,1224426.25,"P.Immune","Women"
"178",28,1252373.39,"P.Immune","Women"
"179",29,1279047.71,"P.Immune","Women"
"180",30,1303938.65,"P.Immune","Women"
"181",1,0,"CIN1","Men"
"182",2,0,"CIN1","Men"
"183",3,0,"CIN1","Men"
"184",4,0,"CIN1","Men"
"185",5,0,"CIN1","Men"
"186",6,0,"CIN1","Men"
"187",7,0,"CIN1","Men"
"188",8,0,"CIN1","Men"
"189",9,0,"CIN1","Men"
"190",10,0,"CIN1","Men"
"191",11,0,"CIN1","Men"
"192",12,0,"CIN1","Men"
"193",13,0,"CIN1","Men"
"194",14,0,"CIN1","Men"
"195",15,0,"CIN1","Men"
"196",16,0,"CIN1","Men"
"197",17,0,"CIN1","Men"
"198",18,0,"CIN1","Men"
"199",19,0,"CIN1","Men"
"200",20,0,"CIN1","Men"
"201",21,0,"CIN1","Men"
"202",22,0,"CIN1","Men"
"203",23,0,"CIN1","Men"
"204",24,0,"CIN1","Men"
"205",25,0,"CIN1","Men"
"206",26,0,"CIN1","Men"
"207",27,0,"CIN1","Men"
"208",28,0,"CIN1","Men"
"209",29,0,"CIN1","Men"
"210",30,0,"CIN1","Men"
"211",1,509797.62,"CIN1","Women"
"212",2,471885.98,"CIN1","Women"
"213",3,438448.67,"CIN1","Women"
"214",4,410088.54,"CIN1","Women"
"215",5,386961.24,"CIN1","Women"
"216",6,367959.09,"CIN1","Women"
"217",7,351409.78,"CIN1","Women"
"218",8,336473.04,"CIN1","Women"
"219",9,322543.19,"CIN1","Women"
"220",10,309241.72,"CIN1","Women"
"221",11,296370.59,"CIN1","Women"
"222",12,284556.91,"CIN1","Women"
"223",13,274720.41,"CIN1","Women"
"224",14,267061.57,"CIN1","Women"
"225",15,261631.62,"CIN1","Women"
"226",16,258375.66,"CIN1","Women"
"227",17,257167.61,"CIN1","Women"
"228",18,257836.2,"CIN1","Women"
"229",19,260181.07,"CIN1","Women"
"230",20,263980.74,"CIN1","Women"
"231",21,268996.2,"CIN1","Women"
"232",22,274974.46,"CIN1","Women"
"233",23,281654.59,"CIN1","Women"
"234",24,288777.17,"CIN1","Women"
"235",25,296096.19,"CIN1","Women"
"236",26,303391.54,"CIN1","Women"
"237",27,310479.88,"CIN1","Women"
"238",28,317221.94,"CIN1","Women"
"239",29,323525.08,"CIN1","Women"
"240",30,329340.97,"CIN1","Women"
"241",1,0,"CIN23","Men"
"242",2,0,"CIN23","Men"
"243",3,0,"CIN23","Men"
"244",4,0,"CIN23","Men"
"245",5,0,"CIN23","Men"
"246",6,0,"CIN23","Men"
"247",7,0,"CIN23","Men"
"248",8,0,"CIN23","Men"
"249",9,0,"CIN23","Men"
"250",10,0,"CIN23","Men"
"251",11,0,"CIN23","Men"
"252",12,0,"CIN23","Men"
"253",13,0,"CIN23","Men"
"254",14,0,"CIN23","Men"
"255",15,0,"CIN23","Men"
"256",16,0,"CIN23","Men"
"257",17,0,"CIN23","Men"
"258",18,0,"CIN23","Men"
"259",19,0,"CIN23","Men"
"260",20,0,"CIN23","Men"
"261",21,0,"CIN23","Men"
"262",22,0,"CIN23","Men"
"263",23,0,"CIN23","Men"
"264",24,0,"CIN23","Men"
"265",25,0,"CIN23","Men"
"266",26,0,"CIN23","Men"
"267",27,0,"CIN23","Men"
"268",28,0,"CIN23","Men"
"269",29,0,"CIN23","Men"
"270",30,0,"CIN23","Men"
"271",1,76206.82,"CIN23","Women"
"272",2,70721.07,"CIN23","Women"
"273",3,64688.8,"CIN23","Women"
"274",4,58621.67,"CIN23","Women"
"275",5,52945.19,"CIN23","Women"
"276",6,47879.65,"CIN23","Women"
"277",7,43448.28,"CIN23","Women"
"278",8,39585.45,"CIN23","Women"
"279",9,36207.91,"CIN23","Women"
"280",10,33240.96,"CIN23","Women"
"281",11,30623.31,"CIN23","Women"
"282",12,28311.05,"CIN23","Women"
"283",13,26292.78,"CIN23","Women"
"284",14,24567.73,"CIN23","Women"
"285",15,23134.23,"CIN23","Women"
"286",16,21986.64,"CIN23","Women"
"287",17,21114.36,"CIN23","Women"
"288",18,20501.81,"CIN23","Women"
"289",19,20128.83,"CIN23","Women"
"290",20,19971.2,"CIN23","Women"
"291",21,20001.22,"CIN23","Women"
"292",22,20188.51,"CIN23","Women"
